Id	Company_Name	Address	Error
1040494	SOUTHERN CHOICE PROPERTIES MS LLC	8511 Gulf Hwy ,Lake Charles	name 'url' is not defined
1040497	SOUTHERN CREDIT RECOVERY, INC.	3228 6Th Street ,Metairie	name 'url' is not defined
1040501	SOUTHERN GENERAL AGENCY, INC.	3800 Coliseum Blvd ,Alexandria	name 'url' is not defined
1040505	SOUTHERN INDUSTRIAL CONTRACTORS, L.L.C.	20 Emerald Lane ,Rayville	name 'url' is not defined
1040506	SOUTHERN PAIN & ANESTHESIA CONSULTANTS, LLC	3348 West Esplanade Ave Ste. A ,Metairie	name 'url' is not defined
1040512	SOUTHERN SPECIALTIES TRANSPORTATION LLC	116 Toledo Dr ,Lafayette	name 'url' is not defined
1040514	SOUTHERN TEXTILE SERVICES LLC	1819 B Memorial Drive ,Alexandria	name 'url' is not defined
1040517	SOUTHLAND DODGE CHRYSLER JEEP LLC	6161 W Park Ave ,Houma	name 'url' is not defined
1040519	SOUTHWEST LA PRIMARY HEALTHCARE CENTER INC	8762 Hwy 182 ,Opelousas	name 'url' is not defined
1040523	SPARTAN BUILDING CORPORATION	251 Highway 21 ,Madisonville	name 'url' is not defined
1040524	SPARTAN DIRECTIONAL LLC	5425 B Highway 90 East ,Broussard	name 'url' is not defined
1040533	SPENCER H CALAHAN, L.L.C.	827 St. Louis Street ,Baton Rouge	name 'url' is not defined
1040535	SPORTSCARE USA INC	820 Jordan St Ste 200 ,Shreveport	name 'url' is not defined
1040543	ST ANTHONYS NURSING HOME INC	6001 Airline Dr ,Metairie	name 'url' is not defined
1040545	ST CATHERINE OF SIENA SCHOOL	105 Bonnabel Blvd ,Metairie	name 'url' is not defined
1040548	ST EDWARD THE CONFESSOR CHURCH	4901 W Metairie Ave ,Metairie	name 'url' is not defined
1040549	ST JOHN THE EVANGELIST INTERPAROCHIAL SCHOOL INC	24250 Regina Street ,Plaquemine	name 'url' is not defined
1040552	ST MARY'S ACADEMY OF THE HOLLY FAMILY	6905 Chef Menteur Highway ,New Orleans	name 'url' is not defined
1040556	ST PIUS X CHURCH &#X26; SCHOOL	6666 Spanish Fort Blvd ,New Orleans	name 'url' is not defined
1040557	ST RITA SCHOOL	194 Ravan Ave ,Harahan	name 'url' is not defined
1040562	ST. ANN NATIONAL CHURCH AND SHRINE	3601 Transcontinental Dr. ,Metairie	name 'url' is not defined
1040563	ST. ANTHONY'S GARDENS	601 Holy Trinity Dr ,Covington	name 'url' is not defined
1040568	ST. CLEMENT OF ROME ROMAN CATHOLIC CHURCH	4317 Richland Avenue ,Metairie	name 'url' is not defined
1040569	ST. DOMINIC'S ROMAN CATHOLIC CHURCH, NEW ORLEANS, LOUISIANA	6326 Memphis St ,New Orleans	name 'url' is not defined
1040573	ST. GENEVIVE HEALTH CARE SERVICES, INC.	6009 Financial Plaza Suite 101 ,Shreveport	name 'url' is not defined
1040575	ST. JAMES EPISCOPAL DAY SCHOOL OF BATON ROUGE, LOUISIANA	445 Convention Street ,Baton Rouge	name 'url' is not defined
1040577	ST. JUDE SCHOOL	9150 Highland Rd ,Baton Rouge	name 'url' is not defined
1040585	ST. SCHOLASTICA ACADEMY	122 S Massachusetts St ,Covington	name 'url' is not defined
1040586	ST. THOMAS MORE SCHOOL	11400 Sherbrook Dr ,Baton Rouge	name 'url' is not defined
1040590	STAINES & EPPLING, APLC	3500 N Causeway Blvd Ste 820 ,Metairie	name 'url' is not defined
1040591	STANLEY REUTER ROSS THORNTON & ALFORD, LLC	909 Poydras Street Ste 2500 ,New Orleans	name 'url' is not defined
