Id	Company_Name	Address	Title	URL	Result
1040494	SOUTHERN CHOICE PROPERTIES MS LLC	8511 Gulf Hwy ,Lake Charles	Southern Choice Properties, LLC	https://southernchoicepropertiesllc.com/	Ms Dora Local Guide ... Southern Choice Properties is the premier provider and manager of affordable, modern living spaces. For more details about the services we offer in your area, call us today at (337) 905-5356. Read more . Contact Us. 8511 GULF HWY. LAKE CHARLES, L.A. 70607 [email protected] Contact us.
1040497	SOUTHERN CREDIT RECOVERY, INC.	3228 6Th Street ,Metairie	SOUTHERN CREDIT RECOVERY - Updated July 2024 - 3228 6th St, Metairie ...	https://www.yelp.com/biz/southern-credit-recovery-metairie-2	1 review of SOUTHERN CREDIT RECOVERY "I was asked to handle a situation for my boss where SCR had sent a debt he supposedly owed, to the credit bureau. After speaking with Miss Briana for briefly 20 minutes, she was able to clear the situation and once it was settled, agreed to have it removed from the credit bureau. Miss Briana was knowledgeable, patient, sweet as pie,and very understanding ...
1040501	SOUTHERN GENERAL AGENCY, INC.	3800 Coliseum Blvd ,Alexandria	Southern General Agency | Trusted by Thousands of Agents	https://southerngeneral.com/	SGA Alexandria PO Box 12480 Alexandria, LA 71315 800.256.8277. SGA Brandon 224 Commerce Drive Brandon, MS 39042 601.992.8210. SGA Bunkie 200 SW Main Street Bunkie, LA 71322 800.738.8555. SGA Alabama Florence, AL 35630 ... Barry L. Mitchell founded Southern General Agency in 1984. Nearly forty years later, we continue to offer a vast array of ...
1040505	SOUTHERN INDUSTRIAL CONTRACTORS, L.L.C.	20 Emerald Lane ,Rayville	Home - Southern Industrial Contractors	https://sicllc.net/	Southern Industrial Contractors works hard to deliver the highest standard of excellence, quality, safety, and service. We strive to not only build projects, but to also build strong relationships with our clients. With our commitment towards exceeding customer expectations, our clients receive the utmost priority and attention from start to finish. Our true success is […]
1040506	SOUTHERN PAIN & ANESTHESIA CONSULTANTS, LLC	3348 West Esplanade Ave Ste. A ,Metairie	Southern Pain & Anesthesia Consultants, Llc, Npi 1881622538 ...	https://npiprofile.com/npi/1881622538	Southern Pain & Anesthesia Consultants, Llc provider in 3348 W Esplanade Ave S Suite A Metairie, La 70002. Phone: (504) 887-7207 . Taxonomy 207LP2900X Accepts: Blue Cross and Blue Shield of Louisiana, HMO
1040512	SOUTHERN SPECIALTIES TRANSPORTATION LLC	116 Toledo Dr ,Lafayette	Southern Specialties Transportation Lafayette LA, 70506 - Manta	https://www.manta.com/c/mr550v5/southern-specialties-transportation	116 Toledo Drive Lafayette, LA 70506 (337) 783-2300
1040514	SOUTHERN TEXTILE SERVICES LLC	1819 B Memorial Drive ,Alexandria	Southern Textile Services in Alexandria, LA 71301 - 318-767...	https://www.chamberofcommerce.com/united-states/louisiana/alexandria/laundry/2005779870-southern-textile-services	Southern Textile Services is located at 1819 Memorial Dr in Alexandria, Louisiana 71301. Southern Textile Services can be contacted via phone at 318-767-1255 for pricing, hours and directions.
1040517	SOUTHLAND DODGE CHRYSLER JEEP LLC	6161 W Park Ave ,Houma	Dodge Car Dealership in Houma | Southland Dodge	https://www.southlanddodgechryslerjeep.com/	Visit Southland Dodge for an exceptional selection of Dodge, Chrysler, and Jeep vehicles. We offer top-notch customer service and a range of models. Discover your dream car today! ... 6161 W Park Ave Houma, LA 70364 Get Directions. Saved Vehicles. You don't have any saved vehicles! ...
1040519	SOUTHWEST LA PRIMARY HEALTHCARE CENTER INC	8762 Hwy 182 ,Opelousas	Southwest Louisiana Primary Health Care Center | Quality Affordable ...	https://swlphc.org/	National Minority Health Month Community Health Fair! Saturday April 20, 2024 11 am - 2 pm 8762 Hwy 182 Opelousas LA, 70570 For Info Call: 337-942-3390 Tickets Available Now!
1040523	SPARTAN BUILDING CORPORATION	251 Highway 21 ,Madisonville	Spartan Building Corporation: Madisonville - New Orleans	https://www.spartanbuilding.com/	Thank you for the outstanding quality and timely completion of our Madisonville office. Your project team attended to every detail, and always demonstrated genuine interest in the quality of our building and our satisfaction ... Spartan Building Corporation 251 Highway 21 Madisonville, LA 70447. Md-call Envelope Facebook Linkedin Instagram. WHY ...
1040524	SPARTAN DIRECTIONAL LLC	5425 B Highway 90 East ,Broussard	Spartan Directional, LLC | Better Business Bureau® Profile	https://www.bbb.org/us/la/broussard/profile/drilling-contractor/spartan-directional-llc-1045-90012734	Spartan Directional, LLC. 5425B Highway 90 E Broussard, LA 70518. Spartan Directional, LLC. 301 Cornelius Dr Lafayette, LA 70508-6205 ... Spartan Directional, LLC. 5425B Highway 90 E Broussard, LA ...
1040533	SPENCER H CALAHAN, L.L.C.	827 St. Louis Street ,Baton Rouge	Spencer H. Calahan | Spencer Calahan Injury Lawyers	https://www.calahanlaw.com/spencer-calahan-injury-lawyer/	Spencer H. Calahan - Contact Spencer Calahan Injury Lawyers for a free consultation by clicking through to this page! ... Spencer H. Calahan founded the Law Offices of Spencer H. Calahan, L.L.C. in 2000 after spending the first years of his legal career in the field of insurance defense. ... 827 Saint Louis St. Baton Rouge, LA 70802. Give us a ...
1040535	SPORTSCARE USA INC	820 Jordan St Ste 200 ,Shreveport	SportsCare USA, Inc. | LinkedIn	https://www.linkedin.com/company/sportscare-usa-inc-	820 Jordan Street Suite 200 ... SportsCare USA, Inc. | 298 followers on LinkedIn. SportsCare is a healthcare marketing company providing outreach programs, marketing personnel, consulting and ...
1040543	ST ANTHONYS NURSING HOME INC	6001 Airline Dr ,Metairie	St Anthony Community Care Center nursing home, 6001 Airline Dr ...	https://www.nursinghomes.com/la/metairie/st-anthony-community-care-center/	Below average. Long-stay quality measures. Average. Contact St Anthony Community Care Center nursing home directly. View services and amenities for St Anthony Community Care Center nursing home, 6001 Airline Dr, Metairie, LA 70003.
1040545	ST CATHERINE OF SIENA SCHOOL	105 Bonnabel Blvd ,Metairie	St. Catherine of Siena Catholic School - Metairie, LA	https://scsgators.org/	CATHERINE OF SIENA SCHOOL 400 Codifer Blvd., Metairie, LA 70005 School Phone: (504) 831-1166 www.scsgators.org ST. CATHERINE OF SIENA PARISH 105 Bonnabel Blvd., Metairie, LA 70005 Parish Phone: (504) 835-9343 www.scschurch.com.
